ProductReference,Avg_CostImpact_Product (ProdRef),UnresolvedRate_Product (ProdRef),Total_Incidents_Product (ProdRef)
PRD00000,752.96875,0.125,32
PRD00001,700.5675675675676,0.21621621621621623,37
PRD00002,517.8148148148148,0.1111111111111111,27
PRD00003,655.6470588235294,0.17647058823529413,34
PRD00004,690.4827586206897,0.13793103448275862,29
PRD00005,561.5666666666667,0.2,30
PRD00006,440.00625,0.05,40
PRD00007,598.6944444444445,0.16666666666666666,36
PRD00008,689.46875,0.09375,32
PRD00009,683.2413793103449,0.1724137931034483,29
PRD00011,871.375,0.0,2
PRD00012,284.6875,0.0,4
PRD00013,579.5833333333334,0.0,3
PRD00014,189.0,0.0,1
PRD00015,497.0,0.0,1
PRD00016,308.0,0.0,1
PRD00017,380.6666666666667,0.3333333333333333,3
PRD00019,588.3333333333334,0.3333333333333333,3
PRD00020,274.0,0.0,3
PRD00021,1547.0,0.0,1
PRD00022,196.0,0.0,2
PRD00023,271.5625,0.25,4
PRD00024,652.0,0.0,1
PRD00025,1320.625,0.0,2
PRD00027,478.75,0.0,2
PRD00028,455.0,0.0,1
PRD00030,223.75,0.0,1
PRD00033,340.3125,0.0,4
PRD00034,505.0,0.5,2
PRD00035,436.25,0.0,2
PRD00037,132.5,0.0,1
PRD00038,243.6,0.0,5
PRD00039,1003.3333333333334,0.0,3
PRD00041,428.4375,0.25,4
PRD00043,401.0,0.0,1
PRD00044,231.0,1.0,1
PRD00046,1152.3333333333333,0.0,3
PRD00047,1186.0,0.0,1
PRD00048,238.0,0.0,1
PRD00049,839.0,0.0,1
PRD00050,391.5,0.0,2
PRD00051,550.0,0.0,3
PRD00052,184.5,0.0,2
PRD00054,341.25,0.0,4
PRD00055,178.0,1.0,1
PRD00056,533.0,0.0,3
PRD00057,313.5,0.0,4
PRD00058,361.0,0.0,1
PRD00060,1383.0,0.0,1
PRD00061,825.0,0.0,3
PRD00062,240.0,0.0,1
PRD00063,228.5,0.0,4
PRD00064,556.0,0.0,1
PRD00065,55.0,0.0,1
PRD00066,548.75,0.3333333333333333,3
PRD00067,326.25,1.0,1
PRD00068,303.5,0.0,2
PRD00070,255.0,0.0,1
PRD00071,419.0,0.3333333333333333,3
PRD00072,323.0,0.0,3
PRD00074,321.0,1.0,1
PRD00075,995.0,0.0,2
PRD00076,522.0,0.5,2
PRD00077,486.0,0.0,1
PRD00078,276.0,0.0,2
PRD00079,308.6666666666667,0.0,3
PRD00080,422.0,0.5,2
PRD00081,276.0,0.0,2
PRD00082,940.5,0.0,2
PRD00083,117.0,0.0,1
PRD00084,362.3333333333333,0.0,3
PRD00085,344.0,0.0,1
PRD00086,424.0,0.0,3
PRD00087,566.25,0.0,1
PRD00088,181.0,0.0,2
PRD00089,361.25,0.25,4
PRD00091,319.0,0.0,5
PRD00092,1210.6666666666667,0.0,3
PRD00093,404.6666666666667,0.0,3
PRD00096,230.0,0.0,4
PRD00097,59.0,0.0,1
PRD00099,344.0,0.0,1
PRD00100,328.6666666666667,0.0,3
PRD00102,761.6666666666666,0.3333333333333333,3
PRD00103,164.0,0.3333333333333333,3
PRD00104,344.4,0.0,5
PRD00105,320.625,0.16666666666666666,6
PRD00106,316.5,0.16666666666666666,6
PRD00107,1223.5,0.0,2
PRD00109,457.0,0.0,1
PRD00110,314.6666666666667,0.3333333333333333,3
PRD00111,367.0,0.0,1
PRD00112,190.5,0.0,2
PRD00113,736.25,0.0,1
PRD00114,266.0,0.0,4
PRD00115,1071.0,0.3333333333333333,3
PRD00117,340.6666666666667,0.0,3
PRD00118,123.0,0.0,1
PRD00119,180.0,0.0,2
PRD00120,102.0,0.0,1
PRD00122,391.0,0.0,2
PRD00124,675.4166666666666,0.3333333333333333,3
PRD00125,221.0,1.0,1
PRD00126,702.0,0.5,2
PRD00127,289.5,0.0,2
PRD00128,321.0,0.0,3
PRD00129,470.5,0.0,2
PRD00130,621.25,0.0,2
PRD00131,1439.3333333333333,0.0,3
PRD00132,204.0,0.0,1
PRD00134,216.0,0.0,2
PRD00137,173.5,0.5,2
PRD00138,770.0,0.0,2
PRD00139,1021.0,0.0,2
PRD00140,877.75,0.0,4
PRD00141,531.5,0.0,2
PRD00142,640.0,0.5,2
PRD00143,433.75,0.3333333333333333,3
PRD00144,205.0,0.0,2
PRD00145,52.0,0.0,1
PRD00146,512.0,0.3333333333333333,3
PRD00147,276.0,0.0,1
PRD00148,883.0,0.0,1
PRD00149,341.875,0.0,2
PRD00150,230.5,0.0,2
PRD00151,346.60714285714283,0.14285714285714285,7
PRD00152,840.0,0.0,2
PRD00153,216.5,0.0,2
PRD00154,185.0,0.0,1
PRD00155,1191.0,0.0,2
PRD00156,580.6666666666666,0.0,3
PRD00157,1780.0,0.0,2
PRD00158,344.6666666666667,0.3333333333333333,3
PRD00159,423.125,0.0,2
PRD00160,201.5,0.0,2
PRD00161,227.0,0.0,1
PRD00162,1375.0,0.0,3
PRD00163,178.0,0.0,1
PRD00164,718.5,0.0,2
PRD00165,270.0,0.0,1
PRD00166,415.0,0.0,1
PRD00167,501.3333333333333,0.0,3
PRD00169,333.3333333333333,0.0,3
PRD00170,113.0,0.0,1
PRD00171,1879.0,0.0,1
PRD00172,300.0,0.0,3
PRD00173,254.0,0.0,1
PRD00174,1187.0,0.0,1
PRD00175,726.6666666666666,0.0,3
PRD00176,243.33333333333334,0.3333333333333333,3
PRD00177,1300.0,0.0,1
